case	fixture	covers
advisory	(none: an orchestrating command with no code of its own to set up as a fixture; evidence comes from a real dispatch inside a shared consolidated session)	plugins/wingman/commands/adaptive/advisory.md
anti-rationalization	evals/fixtures/setup-anti-rationalization-fixture.sh	plugins/wingman/skills/anti-rationalization/SKILL.md
api-hallucination	(none: fixtures are small scratch npm projects with a stubbed dependency, built inline per run, not a setup-*.sh script (a checked-in fixture would give away the trap in its own setup))	plugins/wingman/skills/test-driven-development/SKILL.md; plugins/wingman/skills/research/SKILL.md; docs/AGENT-WEAKNESS-BENCHMARK.md
architecture	evals/fixtures/setup-architecture-fixture.sh	plugins/wingman/commands/pipeline/architecture.md; seven-stage-pipeline-e2e.md
bloat-audit	evals/fixtures/setup-bloat-audit-fixture.sh	plugins/wingman/commands/adaptive/bloat-audit.md
boardroom-7-seat	evals/fixtures/setup-boardroom-gate-fixture.sh	plugins/wingman/commands/adaptive/boardroom.md
boardroom-expand	evals/fixtures/setup-boardroom-gate-fixture.sh	commands/adaptive/boardroom.md
boardroom-gate-rule	evals/fixtures/setup-boardroom-gate-fixture.sh	plugins/wingman/commands/adaptive/boardroom.md
build	evals/fixtures/setup-build-tdd-fixture.sh	plugins/wingman/commands/pipeline/build.md; full-pipeline-e2e.md
code-review	(none: fixture is a plain inline project description shared with several other cases in the same consolidated session, not a dedicated setup-*.sh script)	plugins/wingman/skills/code-review/SKILL.md
council	(none: fixture is a single inline decision question, not a setup-*.sh script)	plugins/wingman/skills/council/SKILL.md
debt-ledger	evals/fixtures/setup-debt-ledger-fixture.sh	plugins/wingman/commands/adaptive/debt-ledger.md
define	evals/fixtures/setup-define-fixture.sh	plugins/wingman/commands/pipeline/define.md; seven-stage-pipeline-e2e.md
definition-of-done	evals/fixtures/setup-dod-fixture.sh	plugins/wingman/skills/definition-of-done/SKILL.md
department-lead-activation	evals/fixtures/setup-fetch-app.sh	plugins/wingman/skills/department-lead-activation/SKILL.md
design-taste	(none: fixture is a hand-built HTML/design-tokens pair, not a setup-*.sh script)	plugins/wingman/skills/design-taste/SKILL.md
discovery	evals/fixtures/setup-discovery-fixture.sh	plugins/wingman/commands/pipeline/discovery.md; seven-stage-pipeline-e2e.md
doc-index	evals/fixtures/setup-doc-index-fixture.sh	plugins/wingman/skills/doc-index/SKILL.md
dod-pre-push-check	(none: constructed inline, mirrors dod-structural-gate.md's own convention for tiny 2-3-file fixtures)	plugins/wingman/scripts/dod-pre-push-check.mjs
dod-structural-gate	(none: fixtures are inline git repos built per-run (see "## Fixtures (inline git repos, not setup-*.sh scripts)" below), not a setup-*.sh script)	plugins/wingman/hooks/dod-structural-gate.mjs
dogfood-gap-classification	(none: evidence comes from this project's own real dogfooding history, not a dedicated setup-*.sh script)	plugins/wingman/skills/dogfood-gap-classification/SKILL.md
dogfood	evals/fixtures/setup-dogfood-simple.sh	plugins/wingman/commands/adaptive/dogfood.md
doubt-driven-development	evals/fixtures/setup-doubt-driven-fixture.sh	plugins/wingman/skills/doubt-driven-development/SKILL.md
engineering-minimalism	(none: fixture is a small scratch Node project built inline, not checked into the repo, not a setup-*.sh script)	plugins/wingman/skills/engineering-minimalism/SKILL.md
evidence-gated-catalog	evals/fixtures/setup-evidence-gated-fixture.sh	plugins/wingman/skills/evidence-gated-catalog/SKILL.md
evolve-promotion	evals/fixtures/setup-evolve-fixture.sh	plugins/wingman/skills/evolve-promotion/SKILL.md; commands/adaptive/evolve.md
founder-cfo	(none: a verdict-rendering skill with no code to set up as a fixture; evidence comes from a real dispatch inside a shared consolidated session)	plugins/wingman/skills/founder-cfo/SKILL.md
founder-cmo	(none: a verdict-rendering skill with no code to set up as a fixture; evidence comes from a real dispatch inside a shared consolidated session)	plugins/wingman/skills/founder-cmo/SKILL.md
founder-cro	(none: a verdict-rendering skill with no code to set up as a fixture; evidence comes from a real dispatch inside a shared consolidated session)	plugins/wingman/skills/founder-cro/SKILL.md
